subject,best_model,best_C,best_gamma,svm_acc,lda_acc,best_acc,f1_avg,precision_avg,recall_avg
A01,SVM,100,0.001,46.53,45.83,46.53,43.58,50.74,46.53
A02,LDA,10,0.01,30.56,32.29,32.29,31.28,34.89,32.29
A03,SVM,1,scale,42.36,40.97,42.36,39.77,45.53,42.36
A04,SVM,10,0.01,35.76,31.94,35.76,34.34,40.86,35.76
A05,LDA,1,scale,26.04,28.82,28.82,27.14,30.01,28.82
A06,SVM,100,0.01,31.94,29.86,31.94,31.42,34.21,31.94
A07,LDA,100,0.001,37.15,39.24,39.24,35.79,43.89,39.24
A08,LDA,100,0.01,37.15,40.28,40.28,39.43,42.54,40.28
A09,SVM,100,0.001,47.22,45.14,47.22,42.39,48.71,47.22
