subject,svm_acc,lda_acc,ens_acc,best_acc,f1,winner,best_C,best_gamma,pca_dims
A01,72.56944444444444,59.375,64.58333333333334,72.56944444444444,64.44445026726757,SVM,10,0.01,17
A02,45.83333333333333,42.01388888888889,42.01388888888889,45.83333333333333,40.546655725227154,SVM,10,0.01,8
A03,63.541666666666664,60.416666666666664,61.458333333333336,63.541666666666664,61.2619936414197,SVM,100,0.001,14
A04,59.375,59.72222222222222,60.06944444444444,60.06944444444444,60.10680166668729,Ensemble,10,0.001,19
A05,59.02777777777778,54.166666666666664,55.90277777777778,59.02777777777778,55.75210777128861,SVM,100,0.001,14
A06,63.19444444444444,55.208333333333336,58.68055555555556,63.19444444444444,58.379216602200536,SVM,100,0.001,22
A07,72.22222222222221,66.66666666666666,69.44444444444444,72.22222222222221,69.47539871178546,SVM,100,0.001,25
A08,59.375,59.375,60.416666666666664,60.416666666666664,60.382474668188955,Ensemble,10,0.001,16
A09,92.36111111111111,69.09722222222221,86.11111111111111,92.36111111111111,86.11001346446552,SVM,1,scale,26
