subject,svm_acc,lda_acc,best_acc,f1,best_model,best_C,best_gamma
A01,72.22222222222221,69.79166666666666,72.22222222222221,72.14244324827442,SVM,100,0.001
A02,60.763888888888886,64.23611111111111,64.23611111111111,64.08063214724756,LDA,100,0.001
A03,73.26388888888889,74.30555555555556,74.30555555555556,74.26415636677207,LDA,100,0.001
A04,73.61111111111111,69.79166666666666,73.61111111111111,73.55151764163237,SVM,100,0.001
A05,59.72222222222222,64.58333333333334,64.58333333333334,64.63466028083907,LDA,10,0.001
A06,59.02777777777778,66.31944444444444,66.31944444444444,66.19472894590731,LDA,1,0.01
A07,63.888888888888886,68.40277777777779,68.40277777777779,68.40322213117987,LDA,10,0.001
A08,75.69444444444444,74.30555555555556,75.69444444444444,75.64350188506084,SVM,100,0.001
A09,83.68055555555556,76.04166666666666,83.68055555555556,83.51614741835259,SVM,100,0.001
